更新日期,更新時間,地區,累計個案數目,新增個案數目,新村大邱教堂,清道郡大南醫院相關,輸入個案數目,其他,與流行病學有聯繫的群組或確診個案,其他##
24/02/2020,9:00,首爾,30,4,1,0,18,11,,
24/02/2020,9:00,釜山,17,8,4,1,0,12,,
24/02/2020,9:00,大邱,442,155,376,0,0,66,,
24/02/2020,9:00,仁川,2,0,1,0,1,0,,
24/02/2020,9:00,光州,9,2,7,0,1,1,,
24/02/2020,9:00,大田,3,1,0,0,0,3,,
24/02/2020,9:00,蔚山,1,0,1,0,0,0,,
24/02/2020,9:00,世宗,1,0,1,0,0,0,,
24/02/2020,9:00,京畿道,35,12,8,0,11,16,,
24/02/2020,9:00,江原道,7,0,3,0,0,4,,
24/02/2020,9:00,忠清北道,3,0,3,0,0,0,,
24/02/2020,9:00,忠清南道,1,0,0,0,0,1,,
24/02/2020,9:00,全羅北道,3,0,0,0,1,2,,
24/02/2020,9:00,全羅南道,1,0,0,0,1,0,,
24/02/2020,9:00,慶尙北道,186,16,38,112,0,36,,
24/02/2020,9:00,慶尙南道,20,9,13,0,0,7,,
24/02/2020,9:00,濟州,2,0,0,0,0,2,,
25/02/2020,9:00,首爾,36,3,2,0,18,16,,
25/02/2020,9:00,釜山,38,15,5,3,0,30,,
25/02/2020,9:00,大邱,499,57,407,1,0,91,,
25/02/2020,9:00,仁川,2,0,1,0,1,0,,
25/02/2020,9:00,光州,9,0,7,0,1,1,,
25/02/2020,9:00,大田,3,1,0,0,0,3,,
25/02/2020,9:00,蔚山,2,1,1,0,0,1,,
25/02/2020,9:00,世宗,1,0,1,0,0,0,,
25/02/2020,9:00,京畿,40,7,10,0,11,19,,
25/02/2020,9:00,江原,6,0,2,0,0,4,,
25/02/2020,9:00,忠清北,3,0,3,0,0,0,,
25/02/2020,9:00,忠清南,1,0,0,0,0,1,,
25/02/2020,9:00,全羅北,3,0,0,0,1,2,,
25/02/2020,9:00,全羅南,2,0,0,0,1,1,,
25/02/2020,9:00,慶尙北,225,45,49,109,0,67,,
25/02/2020,9:00,慶尙南,21,1,13,0,0,8,,
25/02/2020,9:00,濟州,2,0,0,0,0,2,,
26/02/2020,9:00,首爾,45,8,2,0,18,25,,
26/02/2020,9:00,釜山,50,13,6,2,0,42,,
26/02/2020,9:00,大邱,677,178,501,1,0,175,,
26/02/2020,9:00,仁川,3,1,1,0,1,1,,
26/02/2020,9:00,光州,9,0,7,0,1,1,,
26/02/2020,9:00,大田,3,0,0,0,0,3,,
26/02/2020,9:00,蔚山,3,1,2,0,0,1,,
26/02/2020,9:00,世宗,1,0,1,0,0,0,,
26/02/2020,9:00,京畿,43,3,8,0,11,24,,
26/02/2020,9:00,江原,6,0,2,0,0,4,,
26/02/2020,9:00,忠清北,5,2,3,0,0,2,,
26/02/2020,9:00,忠清南,2,1,0,0,0,2,,
26/02/2020,9:00,全羅北,3,0,0,0,1,2,,
26/02/2020,9:00,全羅南,1,0,0,0,1,0,,
26/02/2020,9:00,慶尙北,268,42,51,111,0,106,,
26/02/2020,9:00,慶尙南,25,4,13,0,0,12,,
26/02/2020,9:00,濟州,2,0,0,0,0,2,,
27/02/2020,9:00,首爾,55,10,2,0,18,35,,
27/02/2020,9:00,釜山,58,8,6,2,0,50,,
27/02/2020,9:00,大邱,1017,340,622,1,0,394,,
27/02/2020,9:00,仁川,3,0,1,0,1,1,,
27/02/2020,9:00,光州,9,0,7,0,1,1,,
27/02/2020,9:00,大田,8,5,0,0,0,8,,
27/02/2020,9:00,蔚山,6,3,2,0,0,4,,
27/02/2020,9:00,世宗,1,0,1,0,0,0,,
27/02/2020,9:00,京畿,55,12,10,0,11,34,,
27/02/2020,9:00,江原,6,0,2,0,0,4,,
27/02/2020,9:00,忠清北,7,2,3,0,0,4,,
27/02/2020,9:00,忠清南,7,5,0,0,0,7,,
27/02/2020,9:00,全羅北,3,0,0,0,1,2,,
27/02/2020,9:00,全羅南,1,0,0,0,1,0,,
27/02/2020,9:00,慶尙北,321,53,62,111,0,148,,
27/02/2020,9:00,慶尙南,36,11,13,0,0,23,,
27/02/2020,9:00,濟州,2,0,0,0,0,2,,
28/02/2020,9:00,首爾,62,7,2,0,18,42,,
28/02/2020,9:00,釜山,63,5,6,2,0,55,,
28/02/2020,9:00,大邱,1314,297,721,2,0,591,,
28/02/2020,9:00,仁川,4,1,1,0,1,2,,
28/02/2020,9:00,光州,9,0,7,0,1,1,,
28/02/2020,9:00,大田,13,5,0,0,0,13,,
28/02/2020,9:00,蔚山,11,5,4,0,0,7,,
28/02/2020,9:00,世宗,1,0,1,0,0,0,,
28/02/2020,9:00,京畿,66,11,10,0,11,45,,
28/02/2020,9:00,江原,6,0,2,0,0,4,,
28/02/2020,9:00,忠清北,9,2,3,0,0,6,,
28/02/2020,9:00,忠清南,16,9,0,0,0,16,,
28/02/2020,9:00,全羅北,5,2,0,0,1,4,,
28/02/2020,9:00,全羅南,1,0,0,0,1,0,,
28/02/2020,9:00,慶尙北,394,73,62,113,0,148,,
28/02/2020,9:00,慶尙南,46,10,13,0,0,23,,
28/02/2020,9:00,濟州,2,0,0,0,0,2,,
29/02/2020,9:00,首爾,74,12,4,0,18,52,,
29/02/2020,9:00,釜山,77,14,8,2,0,67,,
29/02/2020,9:00,大邱,2055,741,1356,2,0,697,,
29/02/2020,9:00,仁川,6,2,1,0,1,4,,
29/02/2020,9:00,光州,9,0,7,0,1,1,,
29/02/2020,9:00,大田,14,2,0,0,0,14,,
29/02/2020,9:00,蔚山,17,6,8,0,0,9,,
29/02/2020,9:00,世宗,1,0,1,0,0,0,,
29/02/2020,9:00,京畿,76,10,13,0,11,52,,
29/02/2020,9:00,江原,7,1,3,0,0,4,,
29/02/2020,9:00,忠清北,10,0,4,0,0,6,,
29/02/2020,9:00,忠清南,48,32,0,0,0,48,,
29/02/2020,9:00,全羅北,5,0,0,0,1,4,,
29/02/2020,9:00,全羅南,2,1,0,0,1,1,,
29/02/2020,9:00,慶尙北,469,75,133,115,0,221,,
29/02/2020,9:00,慶尙南,59,13,19,0,0,40,,
29/02/2020,9:00,濟州,2,0,0,0,0,2,,
01/03/2020,9:00,首爾,82,8,4,0,18,60,,
01/03/2020,9:00,釜山,81,4,8,2,0,71,,
01/03/2020,9:00,大邱,2569,513,1877,2,0,690,,
01/03/2020,9:00,仁川,6,0,1,0,1,4,,
01/03/2020,9:00,光州,9,0,7,0,1,1,,
01/03/2020,9:00,大田,13,0,0,0,0,13,,
01/03/2020,9:00,蔚山,17,0,9,0,0,8,,
01/03/2020,9:00,世宗,1,0,1,0,0,0,,
01/03/2020,9:00,京畿,84,8,14,0,11,59,,
01/03/2020,9:00,江原,7,0,3,0,0,4,,
01/03/2020,9:00,忠清北,11,1,4,0,0,7,,
01/03/2020,9:00,忠清南,60,12,2,0,0,58,,
01/03/2020,9:00,全羅北,5,0,0,0,1,4,,
01/03/2020,9:00,全羅南,3,1,0,0,1,2,,
01/03/2020,9:00,慶尙北,514,45,162,115,0,237,,
01/03/2020,9:00,慶尙南,62,3,21,0,0,41,,
01/03/2020,9:00,濟州,2,0,0,0,0,2,,
01/03/2020,16:00,首爾,87,5,4,0,18,60,,
01/03/2020,16:00,釜山,83,2,8,2,0,71,,
01/03/2020,16:00,大邱,2705,136,1877,2,0,690,,
01/03/2020,16:00,仁川,6,0,1,0,1,4,,
01/03/2020,16:00,光州,9,0,7,0,1,1,,
01/03/2020,16:00,大田,13,0,0,0,0,13,,
01/03/2020,16:00,蔚山,20,3,9,0,0,8,,
01/03/2020,16:00,世宗,1,0,1,0,0,0,,
01/03/2020,16:00,京畿,89,5,14,0,11,59,,
01/03/2020,16:00,江原,15,8,3,0,0,4,,
01/03/2020,16:00,忠清北,11,0,4,0,0,7,,
01/03/2020,16:00,忠清南,68,8,2,0,0,58,,
01/03/2020,16:00,全羅北,6,1,0,0,1,4,,
01/03/2020,16:00,全羅南,3,0,0,0,1,2,,
01/03/2020,16:00,慶尙北,555,41,162,115,0,237,,
01/03/2020,16:00,慶尙南,63,1,21,0,0,41,,
01/03/2020,16:00,濟州,2,0,0,0,0,2,,
02/03/2020,0:00,首爾,91,9,4,0,18,69,,
02/03/2020,0:00,釜山,88,7,9,2,0,77,,
02/03/2020,0:00,大邱,3081,514,2136,2,0,943,,
02/03/2020,0:00,仁川,7,1,1,0,1,5,,
02/03/2020,0:00,光州,9,0,7,0,1,1,,
02/03/2020,0:00,大田,14,1,0,0,0,14,,
02/03/2020,0:00,蔚山,20,3,10,0,0,10,,
02/03/2020,0:00,世宗,1,0,1,0,0,0,,
02/03/2020,0:00,京畿,92,8,16,0,11,65,,
02/03/2020,0:00,江原,19,12,7,0,0,12,,
02/03/2020,0:00,忠清北,11,0,5,0,0,6,,
02/03/2020,0:00,忠清南,78,18,2,0,0,76,,
02/03/2020,0:00,全羅北,6,1,0,0,1,5,,
02/03/2020,0:00,全羅南,5,2,1,0,1,3,,
02/03/2020,0:00,慶尙北,624,108,197,115,0,312,,
02/03/2020,0:00,慶尙南,64,2,22,0,0,42,,
02/03/2020,0:00,濟州,2,0,0,0,0,2,,
03/03/2020,0:00,首爾,98,7,,,,,57,41
03/03/2020,0:00,釜山,90,2,,,,,68,22
03/03/2020,0:00,大邱,3601,520,,,,,2385,1216
03/03/2020,0:00,仁川,7,0,,,,,3,4
03/03/2020,0:00,光州,11,2,,,,,9,2
03/03/2020,0:00,大田,14,0,,,,,8,6
03/03/2020,0:00,蔚山,20,0,,,,,10,10
03/03/2020,0:00,世宗,1,0,,,,,1,0
03/03/2020,0:00,京畿,94,2,,,,,70,24
03/03/2020,0:00,江原,20,1,,,,,7,13
03/03/2020,0:00,忠清北,11,0,,,,,5,6
03/03/2020,0:00,忠清南,81,3,,,,,57,24
03/03/2020,0:00,全羅北,7,1,,,,,3,4
03/03/2020,0:00,全羅南,5,0,,,,,2,3
03/03/2020,0:00,慶尙北,685,61,,,,,436,249
03/03/2020,0:00,慶尙南,64,0,,,,,40,24
03/03/2020,0:00,濟州,3,1,,,,,0,3
04/03/2020,0:00,首爾,99,1,,,,,62,37
04/03/2020,0:00,釜山,93,3,,,,,71,22
04/03/2020,0:00,大邱,4006,405,,,,,2585,1421
04/03/2020,0:00,仁川,9,2,,,,,3,6
04/03/2020,0:00,光州,13,2,,,,,9,4
04/03/2020,0:00,大田,15,1,,,,,8,7
04/03/2020,0:00,蔚山,23,3,,,,,11,12
04/03/2020,0:00,世宗,1,0,,,,,1,0
04/03/2020,0:00,京畿,101,7,,,,,75,26
04/03/2020,0:00,江原,21,1,,,,,11,10
04/03/2020,0:00,忠清北,11,0,,,,,5,6
04/03/2020,0:00,忠清南,82,1,,,,,81,1
04/03/2020,0:00,全羅北,7,0,,,,,4,3
04/03/2020,0:00,全羅南,5,0,,,,,2,3
04/03/2020,0:00,慶尙北,774,89,,,,,526,248
04/03/2020,0:00,慶尙南,65,1,,,,,40,25
04/03/2020,0:00,濟州,3,0,,,,,0,3
05/03/2020,0:00,首爾,103,4,,,,,65,38
05/03/2020,0:00,釜山,92,-1,,,,,67,25
05/03/2020,0:00,大邱,4327,321,,,,,3015,1312
05/03/2020,0:00,仁川,9,0,,,,,4,5
05/03/2020,0:00,光州,14,1,,,,,8,6
05/03/2020,0:00,大田,16,1,,,,,9,7
05/03/2020,0:00,蔚山,23,0,,,,,11,12
05/03/2020,0:00,世宗,1,0,,,,,1,0
05/03/2020,0:00,京畿,110,9,,,,,80,30
05/03/2020,0:00,江原,23,2,,,,,11,12
05/03/2020,0:00,忠清北,12,1,,,,,5,7
05/03/2020,0:00,忠清南,86,4,,,,,81,5
05/03/2020,0:00,全羅北,7,0,,,,,3,4
05/03/2020,0:00,全羅南,4,-1,,,,,2,2
05/03/2020,0:00,慶尙北,861,87,,,,,597,264
05/03/2020,0:00,慶尙南,74,9,,,,,45,29
05/03/2020,0:00,濟州,4,1,,,,,0,4
06/03/2020,0:00,首爾,105,2,,,,,65,40
06/03/2020,0:00,釜山,95,3,,,,,67,28
06/03/2020,0:00,大邱,4694,367,,,,,3399,1295
06/03/2020,0:00,仁川,9,0,,,,,5,4
06/03/2020,0:00,光州,13,-1,,,,,8,5
06/03/2020,0:00,大田,18,2,,,,,10,8
06/03/2020,0:00,蔚山,23,0,,,,,10,13
06/03/2020,0:00,世宗,1,0,,,,,1,0
06/03/2020,0:00,京畿,120,10,,,,,86,34
06/03/2020,0:00,江原,25,2,,,,,12,13
06/03/2020,0:00,忠清北,15,3,,,,,6,9
06/03/2020,0:00,忠清南,90,4,,,,,88,2
06/03/2020,0:00,全羅北,7,0,,,,,3,4
06/03/2020,0:00,全羅南,4,0,,,,,2,2
06/03/2020,0:00,慶尙北,984,123,,,,,693,291
06/03/2020,0:00,慶尙南,77,3,,,,,48,29
06/03/2020,0:00,濟州,4,0,,,,,0,4
07/03/2020,0:00,首爾,108,3,,,,,65,43
07/03/2020,0:00,釜山,96,1,,,,,69,27
07/03/2020,0:00,大邱,5084,390,,,,,3718,1366
07/03/2020,0:00,仁川,9,0,,,,,5,4
07/03/2020,0:00,光州,13,0,,,,,9,4
07/03/2020,0:00,大田,18,0,,,,,10,8
07/03/2020,0:00,蔚山,23,0,,,,,12,11
07/03/2020,0:00,世宗,2,1,,,,,1,1
07/03/2020,0:00,京畿,130,10,,,,,97,33
07/03/2020,0:00,江原,26,1,,,,,15,11
07/03/2020,0:00,忠清北,20,5,,,,,14,6
07/03/2020,0:00,忠清南,92,2,,,,,91,1
07/03/2020,0:00,全羅北,7,0,,,,,4,3
07/03/2020,0:00,全羅南,4,0,,,,,2,2
07/03/2020,0:00,慶尙北,1049,65,,,,,758,291
07/03/2020,0:00,慶尙南,82,5,,,,,55,27
07/03/2020,0:00,濟州,4,0,,,,,0,4
08/03/2020,0:00,首爾,120,12,,,,,75,45
08/03/2020,0:00,釜山,97,1,,,,,70,27
08/03/2020,0:00,大邱,5381,297,,,,,4418,963
08/03/2020,0:00,仁川,9,0,,,,,5,4
08/03/2020,0:00,光州,13,0,,,,,9,4
08/03/2020,0:00,大田,18,0,,,,,10,8
08/03/2020,0:00,蔚山,24,1,,,,,12,12
08/03/2020,0:00,世宗,3,1,,,,,3,0
08/03/2020,0:00,京畿,141,11,,,,,106,35
08/03/2020,0:00,江原,27,1,,,,,15,12
08/03/2020,0:00,忠清北,24,4,,,,,14,10
08/03/2020,0:00,忠清南,98,6,,,,,92,6
08/03/2020,0:00,全羅北,7,0,,,,,4,3
08/03/2020,0:00,全羅南,4,0,,,,,2,2
08/03/2020,0:00,慶尙北,1081,32,,,,,777,304
08/03/2020,0:00,慶尙南,83,1,,,,,55,28
08/03/2020,0:00,濟州,4,0,,,,,0,4
09/03/2020,0:00,首爾,130,10,,,,,85,45
09/03/2020,0:00,釜山,96,-1,,,,,69,27
09/03/2020,0:00,大邱,5571,190,,,,,4582,989
09/03/2020,0:00,仁川,9,0,,,,,5,4
09/03/2020,0:00,光州,15,2,,,,,10,5
09/03/2020,0:00,大田,19,1,,,,,10,9
09/03/2020,0:00,蔚山,24,0,,,,,12,12
09/03/2020,0:00,世宗,6,3,,,,,6,0
09/03/2020,0:00,京畿,152,11,,,,,118,34
09/03/2020,0:00,江原,28,1,,,,,15,13
09/03/2020,0:00,忠清北,25,1,,,,,18,7
09/03/2020,0:00,忠清南,102,4,,,,,92,10
09/03/2020,0:00,全羅北,7,0,,,,,4,3
09/03/2020,0:00,全羅南,4,0,,,,,2,2
09/03/2020,0:00,慶尙北,1107,26,,,,,798,309
09/03/2020,0:00,慶尙南,83,0,,,,,55,28
09/03/2020,0:00,濟州,4,0,,,,,0,4
10/03/2020,0:00,首爾,141,11,,,,,97,44
10/03/2020,0:00,釜山,96,0,,,,,69,27
10/03/2020,0:00,大邱,5663,92,,,,,4676,987
10/03/2020,0:00,仁川,13,4,,,,,5,8
10/03/2020,0:00,光州,15,0,,,,,10,5
10/03/2020,0:00,大田,18,-1,,,,,10,8
10/03/2020,0:00,蔚山,24,0,,,,,15,9
10/03/2020,0:00,世宗,8,2,,,,,8,0
10/03/2020,0:00,京畿,163,11,,,,,126,37
10/03/2020,0:00,江原,28,0,,,,,15,13
10/03/2020,0:00,忠清北,25,0,,,,,21,4
10/03/2020,0:00,忠清南,104,2,,,,,99,5
10/03/2020,0:00,全羅北,7,0,,,,,4,3
10/03/2020,0:00,全羅南,4,0,,,,,2,2
10/03/2020,0:00,慶尙北,1117,10,,,,,814,303
10/03/2020,0:00,慶尙南,83,0,,,,,55,28
10/03/2020,0:00,濟州,4,0,,,,,0,4
11/03/2020,0:00,首爾,193,52,,,,,149,44
11/03/2020,0:00,釜山,98,2,,,,,70,28
11/03/2020,0:00,大邱,5794,131,,,,,4755,1039
11/03/2020,0:00,仁川,25,12,,,,,20,5
11/03/2020,0:00,光州,15,0,,,,,10,5
11/03/2020,0:00,大田,18,0,,,,,10,8
11/03/2020,0:00,蔚山,25,1,,,,,16,9
11/03/2020,0:00,世宗,10,2,,,,,9,1
11/03/2020,0:00,京畿,175,12,,,,,136,39
11/03/2020,0:00,江原,29,1,,,,,18,11
11/03/2020,0:00,忠清北,27,2,,,,,25,2
11/03/2020,0:00,忠清南,112,8,,,,,105,7
11/03/2020,0:00,全羅北,7,0,,,,,4,3
11/03/2020,0:00,全羅南,4,0,,,,,3,1
11/03/2020,0:00,慶尙北,1135,18,,,,,820,315
11/03/2020,0:00,慶尙南,84,1,,,,,63,21
11/03/2020,0:00,濟州,4,0,,,,,0,4
12/03/2020,0:00,首爾,212,19,,,,,166,46
12/03/2020,0:00,釜山,99,1,,,,,70,29
12/03/2020,0:00,大邱,5867,73,,,,,4808,1059
12/03/2020,0:00,仁川,25,0,,,,,22,3
12/03/2020,0:00,光州,15,0,,,,,10,5
12/03/2020,0:00,大田,20,2,,,,,10,10
12/03/2020,0:00,蔚山,25,0,,,,,19,6
12/03/2020,0:00,世宗,15,5,,,,,14,1
12/03/2020,0:00,京畿,178,3,,,,,138,40
12/03/2020,0:00,江原,29,0,,,,,19,10
12/03/2020,0:00,忠清北,27,0,,,,,25,2
12/03/2020,0:00,忠清南,114,2,,,,,113,1
12/03/2020,0:00,全羅北,7,0,,,,,4,3
12/03/2020,0:00,全羅南,4,0,,,,,3,1
12/03/2020,0:00,慶尙北,1143,8,,,,,823,320
12/03/2020,0:00,慶尙南,85,1,,,,,63,22
12/03/2020,0:00,濟州,4,0,,,,,0,4
13/03/2020,0:00,首爾,225,13,,,,,170,55
13/03/2020,0:00,釜山,100,1,,,,,70,30
13/03/2020,0:00,大邱,5928,61,,,,,4838,1090
13/03/2020,0:00,仁川,27,2,,,,,24,3
13/03/2020,0:00,光州,15,0,,,,,10,5
13/03/2020,0:00,大田,22,2,,,,,12,10
13/03/2020,0:00,蔚山,27,2,,,,,19,8
13/03/2020,0:00,世宗,32,17,,,,,29,3
13/03/2020,0:00,京畿,185,7,,,,,143,42
13/03/2020,0:00,江原,29,0,,,,,19,10
13/03/2020,0:00,忠清北,27,0,,,,,25,2
13/03/2020,0:00,忠清南,115,1,,,,,112,3
13/03/2020,0:00,全羅北,7,0,,,,,4,3
13/03/2020,0:00,全羅南,4,0,,,,,3,1
13/03/2020,0:00,慶尙北,1147,4,,,,,829,318
13/03/2020,0:00,慶尙南,85,0,,,,,63,22
13/03/2020,0:00,濟州,4,0,,,,,0,4
14/03/2020,0:00,首爾,238,13,,,,,177,61
14/03/2020,0:00,釜山,103,3,,,,,72,31
14/03/2020,0:00,大邱,5990,62,,,,,4974,1016
14/03/2020,0:00,仁川,28,1,,,,,25,3
14/03/2020,0:00,光州,15,0,,,,,10,5
14/03/2020,0:00,大田,22,0,,,,,12,10
14/03/2020,0:00,蔚山,27,0,,,,,19,8
14/03/2020,0:00,世宗,38,6,,,,,35,3
14/03/2020,0:00,京畿,200,15,,,,,156,44
14/03/2020,0:00,江原,29,0,,,,,21,8
14/03/2020,0:00,忠清北,28,1,,,,,25,3
14/03/2020,0:00,忠清南,115,0,,,,,112,3
14/03/2020,0:00,全羅北,7,0,,,,,4,3
14/03/2020,0:00,全羅南,4,0,,,,,3,1
14/03/2020,0:00,慶尙北,1153,6,,,,,841,312
14/03/2020,0:00,慶尙南,85,0,,,,,66,19
14/03/2020,0:00,濟州,4,0,,,,,0,4
15/03/2020,0:00,首爾,247,9,,,,,183,64
15/03/2020,0:00,釜山,106,3,,,,,74,32
15/03/2020,0:00,大邱,6031,41,,,,,4990,1041
15/03/2020,0:00,仁川,30,2,,,,,25,5
15/03/2020,0:00,光州,16,1,,,,,10,6
15/03/2020,0:00,大田,22,0,,,,,12,10
15/03/2020,0:00,蔚山,28,1,,,,,22,6
15/03/2020,0:00,世宗,39,1,,,,,36,3
15/03/2020,0:00,京畿,211,11,,,,,167,44
15/03/2020,0:00,江原,29,0,,,,,21,8
15/03/2020,0:00,忠清北,31,3,,,,,27,4
15/03/2020,0:00,忠清南,115,0,,,,,112,3
15/03/2020,0:00,全羅北,7,0,,,,,4,3
15/03/2020,0:00,全羅南,4,0,,,,,3,1
15/03/2020,0:00,慶尙北,1157,4,,,,,841,316
15/03/2020,0:00,慶尙南,85,0,,,,,66,19
15/03/2020,0:00,濟州,4,0,,,,,0,4
16/03/2020,0:00,首爾,253,6,,,,,188,65
16/03/2020,0:00,釜山,107,1,,,,,75,32
16/03/2020,0:00,大邱,6066,35,,,,,5010,1056
16/03/2020,0:00,仁川,30,0,,,,,26,4
16/03/2020,0:00,光州,16,0,,,,,14,2
16/03/2020,0:00,大田,22,0,,,,,12,10
16/03/2020,0:00,蔚山,28,0,,,,,22,6
16/03/2020,0:00,世宗,40,1,,,,,37,3
16/03/2020,0:00,京畿,231,20,,,,,184,47
16/03/2020,0:00,江原,29,0,,,,,21,8
16/03/2020,0:00,忠清北,31,0,,,,,27,4
16/03/2020,0:00,忠清南,115,0,,,,,112,3
16/03/2020,0:00,全羅北,7,0,,,,,4,3
16/03/2020,0:00,全羅南,4,0,,,,,3,1
16/03/2020,0:00,慶尙北,1164,7,,,,,842,322
16/03/2020,0:00,慶尙南,85,0,,,,,66,19
16/03/2020,0:00,濟州,4,0,,,,,0,4
16/03/2020,0:00,隔離,4,4,,,,,4,0
17/03/2020,0:00,首爾,265,12,,,,,196,69
17/03/2020,0:00,釜山,107,0,,,,,75,32
17/03/2020,0:00,大邱,6098,32,,,,,5021,1077
17/03/2020,0:00,仁川,31,1,,,,,27,4
17/03/2020,0:00,光州,16,0,,,,,14,2
17/03/2020,0:00,大田,22,0,,,,,12,10
17/03/2020,0:00,蔚山,28,0,,,,,22,6
17/03/2020,0:00,世宗,40,0,,,,,37,3
17/03/2020,0:00,京畿,262,31,,,,,214,48
17/03/2020,0:00,江原,29,0,,,,,21,8
17/03/2020,0:00,忠清北,31,0,,,,,27,4
17/03/2020,0:00,忠清南,115,0,,,,,112,3
17/03/2020,0:00,全羅北,7,0,,,,,4,3
17/03/2020,0:00,全羅南,4,0,,,,,3,1
17/03/2020,0:00,慶尙北,1169,5,,,,,848,321
17/03/2020,0:00,慶尙南,86,1,,,,,66,20
17/03/2020,0:00,濟州,4,0,,,,,0,4
17/03/2020,0:00,隔離,6,2,,,,,6,0
18/03/2020,0:00,首爾,270,5,,,,,203,67
18/03/2020,0:00,釜山,107,0,,,,,75,32
18/03/2020,0:00,大邱,6144,46,,,,,5026,1118
18/03/2020,0:00,仁川,32,1,,,,,27,5
18/03/2020,0:00,光州,17,1,,,,,14,3
18/03/2020,0:00,大田,22,0,,,,,12,10
18/03/2020,0:00,蔚山,30,2,,,,,23,7
18/03/2020,0:00,世宗,41,1,,,,,38,3
18/03/2020,0:00,京畿,277,15,,,,,227,50
18/03/2020,0:00,江原,30,1,,,,,21,9
18/03/2020,0:00,忠清北,32,1,,,,,28,4
18/03/2020,0:00,忠清南,118,3,,,,,112,6
18/03/2020,0:00,全羅北,9,2,,,,,4,5
18/03/2020,0:00,全羅南,5,1,,,,,4,1
18/03/2020,0:00,慶尙北,1178,9,,,,,850,328
18/03/2020,0:00,慶尙南,86,0,,,,,70,16
18/03/2020,0:00,濟州,4,0,,,,,0,4
18/03/2020,0:00,隔離,11,5,,,,,11,0
19/03/2020,0:00,首爾,282,12,,,,,208,74
19/03/2020,0:00,釜山,107,0,,,,,78,29
19/03/2020,0:00,大邱,6241,97,,,,,5157,1084
19/03/2020,0:00,仁川,32,0,,,,,27,5
19/03/2020,0:00,光州,17,0,,,,,14,3
19/03/2020,0:00,大田,22,0,,,,,12,10
19/03/2020,0:00,蔚山,36,6,,,,,26,10
19/03/2020,0:00,世宗,41,0,,,,,38,3
19/03/2020,0:00,京畿,295,18,,,,,243,52
19/03/2020,0:00,江原,30,0,,,,,21,9
19/03/2020,0:00,忠清北,33,1,,,,,29,4
19/03/2020,0:00,忠清南,118,0,,,,,112,6
19/03/2020,0:00,全羅北,10,1,,,,,4,6
19/03/2020,0:00,全羅南,5,0,,,,,4,1
19/03/2020,0:00,慶尙北,1190,12,,,,,863,327
19/03/2020,0:00,慶尙南,86,0,,,,,70,16
